sno,candidate,constituency,party,criminal_case,education,total_assets,liabilities,actual_declared_movable,sum_all_movable,actual_declared_immovable,sum_all_immovable,all_candidate_links
1,Abu Bakar Rahmani,MADHUBANI,Country Citizen Party,0,Post Graduate,"Rs 13,58,312 ~ 13 Lacs+",Rs 0 ~,"Rs 5,58,311.78","Rs 5,58,311.36","Rs 8,00,000","Rs 8,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7366
2,Adv Najib Shaikh,AKOLA,Indian National League,0,Graduate Professional,"Rs 25,87,782 ~ 25 Lacs+","Rs 18,00,000 ~ 18 Lacs+","Rs 4,87,782","Rs 4,87,782","Rs 21,00,000","Rs 21,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2858
3,Advocate Balwinder Kumar,JALANDHAR (SC),BSP,1,Post Graduate,"Rs 49,72,497",Nil,"Rs 12,72,497","Rs 12,72,495","Rs 37,00,000","Rs 37,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8894
4,Anandswamy Gaddadevarmath,HAVERI,INC,1,Graduate,"Rs 56,81,54,912 ~ 56 Crore+","Rs 22,46,68,569 ~ 22 Crore+","Rs 19,80,40,378","Rs 19,76,33,866","Rs 37,01,14,534","Rs 37,01,14,533",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3436
5,Bhagyaraj. J,VILUPPURAM (SC),AIADMK,0,12th Pass,"Rs 4,79,83,303 ~ 4 Crore+","Rs 1,43,64,469 ~ 1 Crore+","Rs 1,08,84,802.97","Rs 1,10,33,234.97","Rs 3,70,98,500","Rs 3,70,98,500",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=220
6,Boominathan C,MADURAI,IND,0,5th Pass,"Rs 9,37,466","Rs 42,000","Rs 4,97,466","Rs 4,97,466","Rs 4,40,000","Rs 4,40,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1565
7,Jagadesan A,KALLAKURICHI,Naam Tamilar Katchi,1,Graduate,"Rs 51,76,118 ~ 51 Lacs+",Rs 0 ~,"Rs 33,56,118","Rs 33,56,117","Rs 18,20,000","Rs 18,20,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6
8,Karthikairajan P,SIVAGANGA,IND,0,Graduate,"Rs 32,946 ~ 32 Thou+",Rs 0 ~,"Rs 32,946","Rs 32,946",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1288
9,L. Khaja Hussain,KADAPA,IND,0,Graduate,"Rs 92,46,142",Nil,"Rs 50,59,617","Rs 50,59,616","Rs 41,86,525","Rs 41,86,525",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6163
10,M.Nagaraj,CHENNAI CENTRAL,IND,1,Graduate Professional,"Rs 32,21,200 ~ 32 Lacs+","Rs 17,00,000 ~ 17 Lacs+","Rs 32,21,200","Rs 32,61,200",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1034
11,P. Sivakozhundu,CUDDALORE,DMDK,1,5th Pass,"Rs 84,08,000 ~ 84 Lacs+","Rs 20,00,000 ~ 20 Lacs+","Rs 40,58,000","Rs 40,58,158","Rs 43,50,000","Rs 43,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=114
